Country,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019
Algeria,7,31,25,35,43,55,31,56,76,54,288
Angola,3874892,3794253,2769305,2298979,1999868,1496834,1632282,1682870,1573422,1377992,1533485
Benin,1573163,1324576,1268347,1044235,1078834,705839,422968,567489,889597,564928,577833
Botswana,1900,716,326,1346,456,193,432,1046,1024,927,390
Burkina Faso,10225459,9779154,7015446,5428655,3769051,3858046,428113,804539,182527,36514,44246
Burundi,7670177,8274062,5159706,4585273,4141387,2151076,1571874,1763447,1185622,876741,1101644
Cameroon,1191257,1675264,1162784,505606,26651,454775,15212,556643,234532,342112,334312
Central African Republic,383309,1032764,598833,295088,116300,46759,47653,56789,76543,78654,79654
Chad,1962372,1294768,787046,914032,754565,7710,181126,200448,49087,47757,48288
Colombia,52805,82609,47616,40768,51696,60179,60105,117589,79347,80559,128462
Comoros,2274,1066,1300,2203,53156,49840,24856,36538,5982,34424,24232
Congo,127939,171847,51529,66323,43232,120319,37744,45566,92855,117291,103213
Costa Rica,12,4,3,4,5,6,10,110,262,966,1223
C̫te d'Ivoire,3274683,3471024,3375904,3712831,2506953,1140627,29976,62726,7388,3527,4441
Democratic Republic of the Congo,15176927,15330841,11627473,9968983,6715223,4791598,4561981,2417780,1878705,1618218,740858
Djibouti,14671,13804,9473,9439,1684,25,12,1010,2686,119,210
Egypt,66,56,45,22,34,34,45,48,55,56,67
Equatorial Guinea,15725,147714,15142,20417,13129,15169,22466,53813,14184,9503,6287
Eritrea,31486,24251,19372,30768,21317,21815,34848,35982,11759,8764,15565
Ethiopia,1530739,1718504,1867059,2118815,2645454,1692578,1480306,1158197,1036316,458561,451816
Gabon,35244,23915,23867,31900,28982,19753,18976,13936,660,40701,45186
Gambia,69931,153774,240382,166229,240792,300363,261967,116353,50378,39164,34566
Ghana,4348694,4535167,4319919,3415912,1639451,3755166,1041260,1071637,1104370,1094483,476484
Guinea,1335323,992146,810979,660207,211257,317200,95574,20936,35841,33405,44518
Guinea-Bissau,89784,150903,142309,93431,54584,50381,71982,50391,11757,11299,14284
Kenya,3215116,2783846,1499027,2808931,2335286,1453471,1002805,898531,873455,839903,832123
Liberia,1123532,1191137,931086,864204,1244220,1407455,1915762,922173,839581,606952,492272
Madagascar,800661,475333,744103,377963,385598,359420,224498,202450,215110,93234,48497
Malawi,4901344,4827373,3661238,2905310,1280892,1564984,304499,302353,256432,134443,112342
Mali,1918376,2156282,2295611,2039853,1367218,886482,307035,227482,231234,222345,215347
Mauritania,20105,23042,22631,15835,13085,9037,5991,6367,940,302,789
Mauritius,9,4,32,23,4,56,64,43,32,23,22
Morocco,12,23,43,42,54,57,43,63,45,56,65
Mozambique,8921081,8520376,7718782,7117648,2998874,1813984,1756874,1522577,93874,120259,141663
Namibia,54268,25198,12168,15914,4911,194,1860,556,505,1092,4242
Niger,2638580,4148167,2272000,1953309,2353422,2239858,780876,620058,309675,496858,249027
Nigeria,11571958,9234387,6850782,7826954,654321,632432,610923,551187,479845,143079,134234
Rwanda,1876123,3380568,2505794,1610812,962618,483470,208858,638669,698745,316242,382686
Sao Tome and Principe,2239,2238,2058,1754,9243,12550,8442,2740,6182,6258,2421
Senegal,395706,349540,492253,268912,366687,280241,274119,330331,165933,241926,118332
Sierra Leone,1651236,1775306,1483376,1374476,1701958,1537322,638859,934028,646808,154459,8978
Somalia,35138,35628,20953,11001,8944,35712,3351,24553,25202,36905,16675
South Africa,22061,4323,555,11705,8645,5629,9866,8060,6072,7796,6327
South Sudan,1488005,123543,83425,71377,262520,225371,112024,900283,98798,52011,76854
Sudan,720879,575015,586827,1068506,592383,526931,506806,720557,711462,569296,686908
Togo,1209034,1183265,1113927,1130251,882430,697374,519450,617101,391338,344862,221110
Uganda,11667831,9385132,7137662,3631939,1502362,2662258,231873,1581160,1301337,979298,1045378
Zambia,5505639,4851319,4184661,4077547,329696,775322,262666,261567,321342,321456,53233
Zimbabwe,315624,279988,391651,535931,422633,276963,319935,249379,114028,32788,116518
